Package,Subclass,Version,Combined,License(s),Package URL
androidx.activity,activity,1.8.0,androidx.activity.activity.1.8.0,No license information found,https://mvnrepository.com/artifact/androidx.activity/activity/1.8.0
androidx.annotation,annotation,1.7.0-beta01,androidx.annotation.annotation.1.7.0-beta01,No license information found,https://mvnrepository.com/artifact/androidx.annotation/annotation/1.7.0-beta01
androidx.annotation,annotation-experimental,1.3.0,androidx.annotation.annotation-experimental.1.3.0,No license information found,https://mvnrepository.com/artifact/androidx.annotation/annotation-experimental/1.3.0
androidx.annotation,annotation-jvm,1.7.0-beta01,androidx.annotation.annotation-jvm.1.7.0-beta01,No license information found,https://mvnrepository.com/artifact/androidx.annotation/annotation-jvm/1.7.0-beta01
androidx.appcompat,appcompat,1.6.1,androidx.appcompat.appcompat.1.6.1,No license information found,https://mvnrepository.com/artifact/androidx.appcompat/appcompat/1.6.1
androidx.appcompat,appcompat-resources,1.6.1,androidx.appcompat.appcompat-resources.1.6.1,No license information found,https://mvnrepository.com/artifact/androidx.appcompat/appcompat-resources/1.6.1
androidx.arch.core,core-common,2.2.0,androidx.arch.core.core-common.2.2.0,No license information found,https://mvnrepository.com/artifact/androidx.arch.core/core-common/2.2.0
androidx.arch.core,core-runtime,2.2.0,androidx.arch.core.core-runtime.2.2.0,No license information found,https://mvnrepository.com/artifact/androidx.arch.core/core-runtime/2.2.0
androidx.cardview,cardview,1.0.0,androidx.cardview.cardview.1.0.0,No license information found,https://mvnrepository.com/artifact/androidx.cardview/cardview/1.0.0
androidx.collection,collection,1.1.0,androidx.collection.collection.1.1.0,No license information found,https://mvnrepository.com/artifact/androidx.collection/collection/1.1.0
androidx.concurrent,concurrent-futures,1.1.0,androidx.concurrent.concurrent-futures.1.1.0,No license information found,https://mvnrepository.com/artifact/androidx.concurrent/concurrent-futures/1.1.0
androidx.constraintlayout,constraintlayout,2.0.1,androidx.constraintlayout.constraintlayout.2.0.1,No license information found,https://mvnrepository.com/artifact/androidx.constraintlayout/constraintlayout/2.0.1
androidx.constraintlayout,constraintlayout-solver,2.0.1,androidx.constraintlayout.constraintlayout-solver.2.0.1,No license information found,https://mvnrepository.com/artifact/androidx.constraintlayout/constraintlayout-solver/2.0.1
androidx.coordinatorlayout,coordinatorlayout,1.1.0,androidx.coordinatorlayout.coordinatorlayout.1.1.0,No license information found,https://mvnrepository.com/artifact/androidx.coordinatorlayout/coordinatorlayout/1.1.0
androidx.core,core,1.9.0,androidx.core.core.1.9.0,No license information found,https://mvnrepository.com/artifact/androidx.core/core/1.9.0
androidx.core,core-ktx,1.9.0,androidx.core.core-ktx.1.9.0,No license information found,https://mvnrepository.com/artifact/androidx.core/core-ktx/1.9.0
androidx.cursoradapter,cursoradapter,1.0.0,androidx.cursoradapter.cursoradapter.1.0.0,No license information found,https://mvnrepository.com/artifact/androidx.cursoradapter/cursoradapter/1.0.0
androidx.customview,customview,1.1.0,androidx.customview.customview.1.1.0,No license information found,https://mvnrepository.com/artifact/androidx.customview/customview/1.1.0
androidx.documentfile,documentfile,1.0.0,androidx.documentfile.documentfile.1.0.0,No license information found,https://mvnrepository.com/artifact/androidx.documentfile/documentfile/1.0.0
androidx.drawerlayout,drawerlayout,1.1.1,androidx.drawerlayout.drawerlayout.1.1.1,No license information found,https://mvnrepository.com/artifact/androidx.drawerlayout/drawerlayout/1.1.1
androidx.dynamicanimation,dynamicanimation,1.0.0,androidx.dynamicanimation.dynamicanimation.1.0.0,No license information found,https://mvnrepository.com/artifact/androidx.dynamicanimation/dynamicanimation/1.0.0
androidx.exifinterface,exifinterface,1.2.0,androidx.exifinterface.exifinterface.1.2.0,No license information found,https://mvnrepository.com/artifact/androidx.exifinterface/exifinterface/1.2.0
androidx.fragment,fragment,1.3.6,androidx.fragment.fragment.1.3.6,No license information found,https://mvnrepository.com/artifact/androidx.fragment/fragment/1.3.6
androidx.interpolator,interpolator,1.0.0,androidx.interpolator.interpolator.1.0.0,No license information found,https://mvnrepository.com/artifact/androidx.interpolator/interpolator/1.0.0
androidx.legacy,legacy-support-core-utils,1.0.0,androidx.legacy.legacy-support-core-utils.1.0.0,No license information found,https://mvnrepository.com/artifact/androidx.legacy/legacy-support-core-utils/1.0.0
androidx.lifecycle,lifecycle-common,2.6.1,androidx.lifecycle.lifecycle-common.2.6.1,No license information found,https://mvnrepository.com/artifact/androidx.lifecycle/lifecycle-common/2.6.1
androidx.lifecycle,lifecycle-livedata,2.6.1,androidx.lifecycle.lifecycle-livedata.2.6.1,No license information found,https://mvnrepository.com/artifact/androidx.lifecycle/lifecycle-livedata/2.6.1
androidx.lifecycle,lifecycle-livedata-core,2.6.1,androidx.lifecycle.lifecycle-livedata-core.2.6.1,No license information found,https://mvnrepository.com/artifact/androidx.lifecycle/lifecycle-livedata-core/2.6.1
androidx.lifecycle,lifecycle-runtime,2.6.1,androidx.lifecycle.lifecycle-runtime.2.6.1,No license information found,https://mvnrepository.com/artifact/androidx.lifecycle/lifecycle-runtime/2.6.1
androidx.lifecycle,lifecycle-viewmodel,2.6.1,androidx.lifecycle.lifecycle-viewmodel.2.6.1,No license information found,https://mvnrepository.com/artifact/androidx.lifecycle/lifecycle-viewmodel/2.6.1
androidx.lifecycle,lifecycle-viewmodel-savedstate,2.6.1,androidx.lifecycle.lifecycle-viewmodel-savedstate.2.6.1,No license information found,https://mvnrepository.com/artifact/androidx.lifecycle/lifecycle-viewmodel-savedstate/2.6.1
androidx.loader,loader,1.0.0,androidx.loader.loader.1.0.0,No license information found,https://mvnrepository.com/artifact/androidx.loader/loader/1.0.0
androidx.localbroadcastmanager,localbroadcastmanager,1.0.0,androidx.localbroadcastmanager.localbroadcastmanager.1.0.0,No license information found,https://mvnrepository.com/artifact/androidx.localbroadcastmanager/localbroadcastmanager/1.0.0
androidx.print,print,1.0.0,androidx.print.print.1.0.0,No license information found,https://mvnrepository.com/artifact/androidx.print/print/1.0.0
androidx.recyclerview,recyclerview,1.2.1 (*),androidx.recyclerview.recyclerview.1.2.1 (*),No license information found,https://mvnrepository.com/artifact/androidx.recyclerview/recyclerview/1.2.1 (*)
androidx.resourceinspection,resourceinspection-annotation,1.0.1,androidx.resourceinspection.resourceinspection-annotation.1.0.1,No license information found,https://mvnrepository.com/artifact/androidx.resourceinspection/resourceinspection-annotation/1.0.1
androidx.savedstate,savedstate,1.2.1,androidx.savedstate.savedstate.1.2.1,No license information found,https://mvnrepository.com/artifact/androidx.savedstate/savedstate/1.2.1
androidx.security,security-crypto,1.1.0-alpha06,androidx.security.security-crypto.1.1.0-alpha06,No license information found,https://mvnrepository.com/artifact/androidx.security/security-crypto/1.1.0-alpha06
androidx.sqlite,sqlite,2.0.1,androidx.sqlite.sqlite.2.0.1,No license information found,https://mvnrepository.com/artifact/androidx.sqlite/sqlite/2.0.1
androidx.test,annotation,1.1.0-alpha02,androidx.test.annotation.1.1.0-alpha02,No license information found,https://mvnrepository.com/artifact/androidx.test/annotation/1.1.0-alpha02
androidx.test,core,1.6.0-alpha03,androidx.test.core.1.6.0-alpha03,No license information found,https://mvnrepository.com/artifact/androidx.test/core/1.6.0-alpha03
androidx.test,monitor,1.7.0-alpha03,androidx.test.monitor.1.7.0-alpha03,No license information found,https://mvnrepository.com/artifact/androidx.test/monitor/1.7.0-alpha03
androidx.test,runner,1.6.0-alpha05,androidx.test.runner.1.6.0-alpha05,No license information found,https://mvnrepository.com/artifact/androidx.test/runner/1.6.0-alpha05
androidx.test.espresso,espresso-accessibility,3.6.0-alpha02,androidx.test.espresso.espresso-accessibility.3.6.0-alpha02,No license information found,https://mvnrepository.com/artifact/androidx.test.espresso/espresso-accessibility/3.6.0-alpha02
